@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute orientation-1 numeric
@attribute orientation-2 numeric
@attribute orientation-3 numeric
@attribute outputs-1 numeric

@data
326,'2023/10/29 18:47:32:290',13,0.135236,-0.094883,0.113196,0.5
327,'2023/10/29 18:47:32:319',13,0.153831,-0.0863,0.112297,0.5
328,'2023/10/29 18:47:32:355',13,0.143961,-0.09373,0.108652,0.5
329,'2023/10/29 18:47:32:370',13,0.156631,-0.091672,0.110819,0.5
330,'2023/10/29 18:47:32:400',13,0.146815,-0.092258,0.116621,0.5
331,'2023/10/29 18:47:32:444',13,0.155125,-0.088859,0.113291,0.5
332,'2023/10/29 18:47:32:467',13,0.134048,-0.090375,0.105507,0.5
333,'2023/10/29 18:47:32:505',13,0.135094,-0.088112,0.107149,0.5
334,'2023/10/29 18:47:32:538',13,0.127352,-0.093028,0.109735,0.5
335,'2023/10/29 18:47:32:571',13,0.139458,-0.092718,0.108266,0.5
